name_zh	name_en	hospCode	hospTimeEn	topWait	district_zh	district_en	sub_district_zh	sub_district_en	topWait_value
北大嶼山醫院	North Lantau Hospital	NLT	17/4/2020 11:00am	< 1	離島	Islands	東涌	Tung Chung	0
博愛醫院	Pok Oi Hospital	POH	17/4/2020 11:00am	< 1	元朗	Yuen Long	元朗	Yuen Long	0
威爾斯親王醫院	Prince of Wales Hospital	PWH	17/4/2020 11:00am	< 1	沙田	Sha Tin	沙田	Sha Tin	0
伊利沙伯醫院	Queen Elizabeth Hospital	QEH	17/4/2020 11:00am	< 1	油尖旺	Yau Tsim Mong	油麻地	Yau Ma Tei	0
瑪麗醫院	Queen Mary Hospital	QMH	17/4/2020 11:00am	< 1	中西區	Central & Western	薄扶林	Pok Fu Lam	0
長洲醫院	St John Hospital	SJH	17/4/2020 11:00am	< 1	離島	Islands	長洲	Cheung Chau	0
將軍澳醫院	Tseung Kwan O Hospital	TKO	17/4/2020 11:00am	< 1	西貢	Sai Kung	將軍澳	Tseung Kwan O	0
天水圍醫院	Tin Shui Wai Hospital	TSH	17/4/2020 11:00am	< 1	元朗	Yuen Long	天水圍	Tin Shui Wai	0
雅麗氏何妙齡那打素醫院	Alice Ho Miu Ling Nethersole Hospital	AHN	17/4/2020 11:00am	> 1	大埔	Tai Po	大埔	Tai Po	1
明愛醫院	Caritas Medical Centre	CMC	17/4/2020 11:00am	> 1	深水埗	Sham Shui Po	深水埗	Sham Shui Po	1
廣華醫院	Kwong Wah Hospital	KWH	17/4/2020 11:00am	> 1	油尖旺	Yau Tsim Mong	旺角	Mong Kok	1
北區醫院	North District Hospital	NDH	17/4/2020 11:00am	> 1	北區	North	上水	Sheung Shui	1
瑪嘉烈醫院	Princess Margaret Hospital	PMH	17/4/2020 11:00am	> 1	葵青	Kwai Tsing	葵涌	Kwai Chung	1
東區尤德夫人那打素醫院	Pamela Youde Nethersole Eastern Hospital	PYN	17/4/2020 11:00am	> 1	東區	Eastern	柴灣	Chai Wan	1
屯門醫院	Tuen Mun Hospital	TMH	17/4/2020 11:00am	> 1	屯門	Tuen Mun	屯門	Tuen Mun	1
仁濟醫院	Yan Chai Hospital	YCH	17/4/2020 11:00am	> 1	荃灣	Tsuen Wan	荃灣	Tsuen Wan	1
律敦治醫院	Ruttonjee Hospital	RH	17/4/2020 11:00am	> 2	灣仔	Wan Chai	灣仔	Wan Chai	2
基督教聯合醫院	United Christian Hospital	UCH	17/4/2020 11:00am	> 7	觀塘	Kwun Tong	觀塘	Kwun Tong	7
